"Date";"Check-in";"Departure";"Check-out";"Destination";"Amount";"Transaction";"Class";"Product";"Comments"
"06-11-2015";"12:30";"";"";"via NS";"15.00";"Credit loaded on card";"";"";""
"06-11-2015";"11:34";"";"";"Schiphol";"2.30";"Supplement Intercity Direct";"";"Reizen op Saldo NS Vol tarief (2nd class)";""
"06-11-2015";"";"Rotterdam Centraal";"13:10";"Rotterdam Centraal";"20.00";"Check-out";"";"Reizen op Saldo NS Vol tarief (2nd class)";""
"06-11-2015";"13:35";"";"";"via RET";"2.00";"Credit loaded on card";"";"";""
"06-11-2015";"13:36";"Centraal Station";"";"";"";"Check-in";"";"";""
"06-11-2015";"";"Centraal Station";"13:45";"Wilhelminaplein";"1.26";"Check-out";"";"";""
"10-11-2015";"20:35";"";"";"via RET";"2.00";"Credit loaded on card";"";"";""
"10-11-2015";"20:36";"Beurs";"";"";"";"Check-in";"";"";""
"10-11-2015";"";"Beurs";"20:43";"Wilhelminaplein";"1.11";"Check-out";"";"";""
"11-11-2015";"10:28";"Wilhelminaplein";"";"";"";"Check-in";"";"";""
"11-11-2015";"";"Wilhelminaplein";"10:39";"Beurs";"1.11";"Check-out";"";"";""
"11-11-2015";"";"Beurs";"10:49";"Kralingse Zoom";"0.55";"Check-out";"";"";""
"11-11-2015";"";"Kralingse Zoom";"13:50";"Blaak";"1.34";"Check-out";"";"";""
"11-11-2015";"";"Beurs";"16:45";"Wilhelminaplein";"1.11";"Check-out";"";"";""
"12-11-2015";"";"Wilhelminaplein";"12:59";"Wilhelminaplein";"0.00";"Check-out";"";"";""
"12-11-2015";"";"Wilhelminaplein";"13:14";"Centraal Station";"1.26";"Check-out";"";"";""
"12-11-2015";"";"Beurs";"13:38";"Beurs";"0.00";"Check-out";"";"";""
"12-11-2015";"";"Beurs";"13:48";"Kralingse Zoom";"0.55";"Check-out";"";"";""
"12-11-2015";"";"Woudestein";"20:08";"Station Blaak";"1.20";"Check-out";"";"";""
