"Date";"Check-in";"Departure";"Check-out";"Destination";"Amount";"Transaction";"Class";"Product";"Comments"
"01-10-2015";"16:03";"Wilhelminaplein";"";"";"";"Check-in";"";"RET MaandKorting 20% 2015";""
"01-10-2015";"";"Wilhelminaplein";"16:11";"Beurs";"0.88";"Check-out";"";"RET MaandKorting 20% 2015";""
"04-10-2015";"14:54";"Wilhelminaplein";"";"";"";"Check-in";"";"RET MaandKorting 20% 2015";""
"04-10-2015";"";"Wilhelminaplein";"14:58";"Beurs";"0.88";"Check-out";"";"RET MaandKorting 20% 2015";""
"04-10-2015";"18:09";"Beurs";"";"";"";"Check-in";"";"RET MaandKorting 20% 2015";""
"04-10-2015";"";"Beurs";"18:18";"Wilhelminaplein";"0.88";"Check-out";"";"RET MaandKorting 20% 2015";""
"05-10-2015";"13:55";"Wilhelminaplein";"";"";"";"Check-in";"";"RET MaandKorting 20% 2015";""
"05-10-2015";"";"Wilhelminaplein";"14:03";"Stadhuis";"0.93";"Check-out";"";"RET MaandKorting 20% 2015";""
"05-10-2015";"17:05";"Beurs";"";"";"";"Check-in";"";"RET MaandKorting 20% 2015";""
"05-10-2015";"";"Beurs";"17:13";"Wilhelminaplein";"0.88";"Check-out";"";"RET MaandKorting 20% 2015";""
"06-10-2015";"";"Wilhelminaplein";"09:24";"Beurs";"0.88";"Check-out";"";"RET MaandKorting 20% 2015";""
"06-10-2015";"";"Beurs";"09:37";"Kralingse Zoom";"0.44";"Check-out";"";"RET MaandKorting 20% 2015";""
"06-10-2015";"";"Kralingse Zoom";"20:41";"Beurs";"1.14";"Check-out";"";"RET MaandKorting 20% 2015";""
"06-10-2015";"";"Beurs";"20:47";"Wilhelminaplein";"0.18";"Check-out";"";"RET MaandKorting 20% 2015";""
"07-10-2015";"";"Wilhelminaplein";"13:56";"Beurs";"0.88";"Check-out";"";"RET MaandKorting 20% 2015";""
"07-10-2015";"";"Beurs";"14:06";"Kralingse Zoom";"0.44";"Check-out";"";"RET MaandKorting 20% 2015";""
"07-10-2015";"";"Kralingse Zoom";"18:24";"Beurs";"1.14";"Check-out";"";"RET MaandKorting 20% 2015";""
"07-10-2015";"";"Beurs";"18:35";"Wilhelminaplein";"0.18";"Check-out";"";"RET MaandKorting 20% 2015";""
"10-10-2015";"";"Wilhelminaplein";"15:13";"Stadhuis";"0.93";"Check-out";"";"RET MaandKorting 20% 2015";""
"10-10-2015";"";"Beurs";"18:40";"Wilhelminaplein";"0.88";"Check-out";"";"RET MaandKorting 20% 2015";""
"13-10-2015";"";"Wilhelminaplein";"08:42";"Beurs";"0.88";"Check-out";"";"RET MaandKorting 20% 2015";""
"13-10-2015";"";"Beurs";"08:56";"Kralingse Zoom";"0.44";"Check-out";"";"RET MaandKorting 20% 2015";""
"13-10-2015";"";"Kralingse Zoom";"19:21";"Beurs";"1.14";"Check-out";"";"RET MaandKorting 20% 2015";""
