"Date";"Check-in";"Departure";"Check-out";"Destination";"Amount";"Transaction";"Class";"Product";"Comments"
"20-09-2015";"13:36";"";"";"via RET";"7.00";"Credit loaded on card";"";"";""
"20-09-2015";"13:40";"Wilhelminaplein";"";"";"";"Check-in";"";"";""
"20-09-2015";"";"Wilhelminaplein";"13:50";"Beurs";"1.11";"Check-out";"";"";""
"20-09-2015";"13:50";"Beurs";"";"";"";"Check-in";"";"";""
"20-09-2015";"";"Beurs";"14:08";"Kralingse Zoom";"0.55";"Check-out";"";"";""
"20-09-2015";"14:38";"Kralingse Zoom";"";"";"";"Check-in";"";"";""
"20-09-2015";"";"Kralingse Zoom";"14:51";"Blaak";"0.46";"Check-out";"";"";""
"21-09-2015";"09:32";"";"";"Purchased from NS";"";"Product loaded on card";"";"Reizen op Saldo NS Vol tarief (2nd class)";""
"23-09-2015";"13:34";"";"";"via RET";"2.00";"Credit loaded on card";"";"";""
"23-09-2015";"13:34";"Wilhelminaplein";"";"";"";"Check-in";"";"";""
"23-09-2015";"";"Wilhelminaplein";"13:56";"Beurs";"1.11";"Check-out";"";"";""
"23-09-2015";"";"Beurs";"14:06";"Kralingse Zoom";"0.55";"Check-out";"";"";""
"23-09-2015";"";"Kralingse Zoom";"16:11";"Beurs";"1.43";"Check-out";"";"";""
"23-09-2015";"";"Beurs";"16:22";"Wilhelminaplein";"0.23";"Check-out";"";"";""
"24-09-2015";"";"Wilhelminaplein";"14:59";"Beurs";"1.11";"Check-out";"";"";""
"24-09-2015";"";"Beurs";"15:07";"Kralingse Zoom";"0.55";"Check-out";"";"";""
"24-09-2015";"";"Kralingse Zoom";"21:09";"Beurs";"1.43";"Check-out";"";"";""
"24-09-2015";"";"Beurs";"21:18";"Wilhelminaplein";"0.23";"Check-out";"";"";""
"25-09-2015";"";"Beurs";"21:14";"Wilhelminaplein";"1.11";"Check-out";"";"";""
"26-09-2015";"";"Wilhelminaplein";"16:42";"Beurs";"0.88";"Check-out";"";"RET MaandKorting 20% 2015";""
"26-09-2015";"";"Beurs";"16:53";"Kralingse Zoom";"0.44";"Check-out";"";"RET MaandKorting 20% 2015";""
"26-09-2015";"";"Kralingse Zoom";"20:26";"Blaak";"1.07";"Check-out";"";"RET MaandKorting 20% 2015";""
"26-09-2015";"";"Blaak";"20:51";"Beurs";"0.06";"Check-out";"";"RET MaandKorting 20% 2015";""
"26-09-2015";"";"Beurs";"20:57";"Wilhelminaplein";"0.18";"Check-out";"";"RET MaandKorting 20% 2015";""
"27-09-2015";"";"Wilhelminaplein";"12:07";"Beurs";"0.88";"Check-out";"";"RET MaandKorting 20% 2015";""
"27-09-2015";"";"Beurs";"13:57";"Wilhelminaplein";"0.88";"Check-out";"";"RET MaandKorting 20% 2015";""
"27-09-2015";"";"Wilhelminaplein";"15:49";"Beurs";"0.88";"Check-out";"";"RET MaandKorting 20% 2015";""
"27-09-2015";"";"Beurs";"16:05";"Kralingse Zoom";"0.44";"Check-out";"";"RET MaandKorting 20% 2015";""
"27-09-2015";"";"Kralingse Zoom";"20:51";"Beurs";"1.14";"Check-out";"";"RET MaandKorting 20% 2015";""
"27-09-2015";"";"Beurs";"21:03";"Wilhelminaplein";"0.18";"Check-out";"";"RET MaandKorting 20% 2015";""
"28-09-2015";"";"Wilhelminaplein";"11:47";"Beurs";"0.88";"Check-out";"";"RET MaandKorting 20% 2015";""
"28-09-2015";"";"Beurs";"11:59";"Kralingse Zoom";"0.44";"Check-out";"";"RET MaandKorting 20% 2015";""
"28-09-2015";"";"Kralingse Zoom";"17:04";"Beurs";"1.14";"Check-out";"";"RET MaandKorting 20% 2015";""
"28-09-2015";"";"Beurs";"17:10";"Wilhelminaplein";"0.18";"Check-out";"";"RET MaandKorting 20% 2015";""
"29-09-2015";"";"Wilhelminaplein";"12:48";"Beurs";"0.88";"Check-out";"";"RET MaandKorting 20% 2015";""
"29-09-2015";"";"Beurs";"13:03";"Kralingse Zoom";"0.44";"Check-out";"";"RET MaandKorting 20% 2015";""
"29-09-2015";"";"Kralingse Zoom";"18:37";"Beurs";"1.14";"Check-out";"";"RET MaandKorting 20% 2015";""
"29-09-2015";"";"Beurs";"18:44";"Wilhelminaplein";"0.18";"Check-out";"";"RET MaandKorting 20% 2015";""
"30-09-2015";"";"Wilhelminaplein";"13:02";"Stadhuis";"0.93";"Check-out";"";"RET MaandKorting 20% 2015";""
"30-09-2015";"";"Beurs";"13:20";"Beurs";"0.00";"Check-out";"";"RET MaandKorting 20% 2015";""
"30-09-2015";"";"Beurs";"13:24";"Beurs";"0.00";"Check-out";"";"RET MaandKorting 20% 2015";""
"30-09-2015";"";"Beurs";"13:34";"Kralingse Zoom";"0.44";"Check-out";"";"RET MaandKorting 20% 2015";""
"30-09-2015";"";"Kralingse Zoom";"15:57";"Beurs";"1.14";"Check-out";"";"RET MaandKorting 20% 2015";""
"30-09-2015";"";"Beurs";"16:02";"Wilhelminaplein";"0.18";"Check-out";"";"RET MaandKorting 20% 2015";""
